Item Code,Description,,U/M
050-058333,"HHCS 1/4""-28 x 1.75"" LG I-625",,EA
050-059000,SCREW CSOH 1/4-20 x 2 18-8,,EA
050-060000,SCREW CSOH 1/4 USS x 3L 18-,,EA
050-061000,SCREW CSOH 1/4 USS x 3-1/2L 18,,EA
050-062000,SCREW CSOH 1/4 USS x 4L 18-,,EA
050-063000,"HHCS 3/8""-16 x 0.75"" LG 18-8",,EA
050-063001,OBSOLETE SEE REMARKS,,EA
050-063002,---- NIL ----,,EA
050-063100,"HHCS 3/8""-24 x 3.50"" LG 18-8",,EA
050-063200,"BOLT  HCS 5/8""-11 X 2.00"" 18-8",,EA
050-063225,"BOLT  HCS 5/8""-11 X 2.25"" 18-8",,EA
050-063250,"BOLT  HCS 5/8""-11 X 2.50"" 18-8",,EA
050-063275,"BOLT  HCS 5/8""-11 X 2.75"" 18-8",,EA
050-063300,"BOLT  HCS 5/8""-11 X 3.00"" 18-8",,EA
050-063325,"BOLT  HCS 5/8""-11 X 3.25"" 18-8",,EA
050-063350,"BOLT  HCS 5/8""-11 X 3.50"" 18-8",,EA
050-063375,"BOLT  HCS 5/8""-11 X 3.75"" 18-8",,EA
050-063400,"BOLT HCS 5/8""-11 X 4.00"" LG 18-8",,EA
050-064000,OBSOLETE SEE REMARKS,,EA
050-064500,"HHCS 3/8""-16 X 4.50"" LG 18-8",,EA
050-065000,OBSOLETE SEE REMARKS,,EA
050-065500,"HHCS 3/8""-16 X 5.00"" LG 18-8",,EA
050-066000,OBSOLETE SEE REMARKS,,EA
050-066316,"HHCS 3/8""-16 x 2.25"" LG 316SS",,EA
050-066555,OBSOLETE SEE REMARKS,,EA
050-066556,OBSOLETE SEE REMARKS,,EA
050-066557,OBSOLETE SEE REMARKS,,EA
050-066558,OBSOLETE SEE REMARKS,,EA
050-066559,OBSOLETE SEE REMARKS,,EA
050-066560,OBSOLETE SEE REMARKS,,EA
050-066561,OBSOLETE SEE REAMRKS,,EA
050-066777,"HHCS 1-1/8""-7 X 4.50"" LG 18-8",,EA
050-067000,"HHCS 3/8""-24 X 2.00"" LG 18-8",,EA
050-067777,"HHCS 3/8""-16 X 4.00"" LG 18-8",,EA
050-068000,"HHCS 3/8""-16 X 1.75"" LG 18-8",,EA
050-069000,"HHCS 3/8""-16 x 1.50"" LG 18-8",,EA
050-070000,"HHCS 3/8""-16 DO NOT USE",,EA
050-071000,"OBSOLETE 3/8""-16 x 1.00""   - USE 050-038100",,EA
050-072000,SCREW CSFH .31USS X 1.25L 18-8,,EA
050-073000,SCREW CSFH .31USS X 1.50L 18-8,,EA
050-074000,SCREW CSFH .31USS X 2.00L 18-8,,EA
050-075000,SCREW CSFH .31USS X 2.50L 18-8,,EA
050-075175,"BOLT  HCS 3/4 X 1-3/4"" 18-8",,EA
050-075200,"BOLT  HCS 3/4`-10 X 2""  18-8",,EA
050-075225,BOLT  HCS 3/4`-10 X 2-1/4 18-8,,EA
050-075250,"BOLT  HCS 3/4""-10 X 2.50"" 18-8",,EA
050-075275,"BOLT  HCS 3/4""-10 X 2.75"" 18-8",,EA
050-075300,"BOLT  HCS 3/4""-10 X 3.00"" 18-8",,EA
050-075325,"BOLT  HCS 3/4""-10 X 3.25"" 18-8",,EA
050-075350,"BOLT  HCS 3/4""-10 X 3.50"" 18-8",,EA
050-075375,"BOLT HCS  3/4""-10 X 3.75"" 18-8",,EA
050-075400,"BOLT  HCS 3/4""-10 X 4.00"" 18-8",,EA
050-075550,"BOLT  HCS 3/4""-10 X 5.50"" LG 18-8",,EA
050-076000,SCREW CSFH .31USS X 3.00L 18-8,,EA
050-076666,SCREW CSFH 3/8-16 x 3 18-8,,EA
050-077000,SCREW CSFH 1/4 USS x 1L 18-,,EA
050-078000,SCREW CSFH 1/4 USS x 1-1/2L 18,,EA
050-079000,SCREW CSFH 1/4 USS x 2L 18-,,EA
050-080000,SCREW CSFH 1/4 USS x 3L 18-,,EA
050-081000,"HHCS 1/2""-13 x 1.50"" LG 18-8",,EA
050-081111,"HHCS 1/2-20 X 1.75"" LG 18-8",,EA
050-081333,"HHCS 1/2""-20 x 2.50"" LG 18-8",,EA
050-082000,OBSOLETE SEE REMARKS,,EA
050-083000,OBSOLETE SEE REMARKS,,EA
050-083316,"BOLT 1/2""-13 x 2.50"" LG 316SS",,EA
050-084000,"HHCS 1/2""-13 x 5.50"" LG 18-8",,EA
050-085000,"HHCS 5/8""-11 x 5.00"" LG 18-8",,EA
050-086000,"HHCS 3/8""-24 x 2.25"" LG 18-8",,EA
050-087000,"HHCS 3/8""-24 x 2.50"" LG 18-8",,EA
050-088000,SCREW MACH 1/4 USS x 3/4L 18-,,EA
050-088200,"HHCS 7/8""-9 x 2.00"" LG 18-8",,EA
050-088275,"BOLT  HCS 7/8""-9 X 2.75"" 18-8",,EA
050-088300,"BOLT  HCS 7/8""-9 X 3.00"" 18-8",,EA
050-088325,"BOLT  HCS 7/8""-9 X 3.25"" 18-8",,EA
050-088350,"BOLT  HCS 7/8""-9 X 3.50"" 18-8",,EA
050-088400,"BOLT  HCS 7/8""-9 X 4.00"" 18-8",,EA
050-088450,"BOLT  HCS 7/8""-9 X 4.50"" 18-8",,EA
050-089000,SCREW MACH 1/4 USS x 4L 18-8,,EA
050-090000,SCREW MACH 1/4 USS x 2-1/2L 18,,EA
050-090001,SCREW MACH 12-24 X 0.75L 18-8,,EA
